date,comments,title,text
 Сьогодні о 12:40,0,У Чернівцях викрили схему розкрадання коштів громади,За фактом розкрадання коштів відкрили кримінальне провадження. Розпочались слідчі дії. Подробиці справи - у матеріалі МА АСС. 
 Сьогодні о 12:12,0,Нічна ДТП на проспекті Незалежності у Чернівцях ,На проспекті Незалежності не розминулись дві автівки. Деталі інциденту - у матеріалі МА АСС. 
 Сьогодні о 11:40,0,Вакцинуватимуть від ранку: буковинські центри COVID-імунізації змінюють графік  ,Від завтра центри масової вакцинації від COVID-19 у Чернівецькій області змінюють графік роботи.   
 Сьогодні о 11:12,0,У Мамаївцях онук виніс з будинку бабусі понад 30 тисяч валюти,Зловмисник проник до будинку звідки викрав понад 30 тисяч іноземної валюти. За скоєне правопорушнику загрожує до 12 років позбавлення волі. 
 Сьогодні о 10:35,0,Протаранив припарковане авто та врізався в опору: ДТП у Чернівцях (ФОТО),Водій легковика не впорався з керуванням та потрапив у ДТП. 
 Сьогодні о 10:13,1,Патріотичне виховання: червоно-чорний стяг відтепер має кожна школа Чернівців,"Червоно-чорні прапори отримали заклади освіти Чернівецької громади. А також афіші, на яких зображені фото загиблих чернівецьких героїв. "
 Сьогодні о 09:38,0,Оголосили штормове попередження на Буковині: рівень небезпечності,Синоптики попереджають про погіршення погоди у Чернівцях та області. Докладніше - у матеріалі Медіа агентства АСС 
 Сьогодні о 08:29,0,Старт продажу квитків до Києва та смерть 20-річного буковинця: ТОП новин за вчора,"Постфактум 19 листопада. Журналісти Медіа агентства АСС підготували для вас добірку новин за вчора, які не варто пропустити. Про головні новини Чернівців та області читайте у матеріалі. "
 Вчора о 22:30,0,COVID-19 на Буковині: скільки нових випадків виявили за добу ,Офіційна інформація від Чернівецької облдержадміністрації про ситуацію з захворюваністю в області. 
 Вчора о 21:14,0,"До +11° тепла, а в горах мокрий сніг: якою буде погода на Буковині 20 листопада ","Про погоду у Чернівцях та області у суботу, 20 листопада, читайте у новині. "
 Вчора о 18:14,0,Думка дня: Рятувальники про смерті на пожежах через пічне опалення,Думки експертів на актуальні теми щодня від ІА АСС. 
 Вчора о 17:45,0,До 12° тепла прогнозують буковинські синоптики на вихідні,"Журналісти Медіа агентства АСС підготували прогноз погоди на вихідні. Синоптики стверджують, що буде тепло та без опадів. Деталі - у матеріалі. "
 Вчора о 17:07,0,Буковина закріплює позиції жовтої зони: карантинне зонування від МОЗ,Станом на 19 листопада у червоній зоні епіднебезпеки перебувають Київ та 18 областей України. 
